Event,Location,Date,Start,End,Image
Triangle of Sadness (Votez Cinéma),Cinémathèque de la Ville de Luxembourg,27.09.2024,19:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/triangle-of-sadness-votez-cinema-eZRiK8/triangle-of-sadness-1_main.jpg
Clash of the Titans (Family Screenings),Cinémathèque de la Ville de Luxembourg,28.09.2024,16:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/clash-of-the-titans-family-screenings-CBnjLt/thumb_ClashTitans01_main.jpg
The Grass Harp (Truman Capote),Cinémathèque de la Ville de Luxembourg,28.09.2024,18:15,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-grass-harp-truman-capote-5hml9a/thumb_the-grass-harp-1_main.jpeg
Capote (Truman Capote),Cinémathèque de la Ville de Luxembourg,28.09.2024,20:30,22:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/capote-truman-capote-6CSDCs/thumb_philip-seymor-hoffman_capote-2005-3_main.jpg
Kiki la petite sorcière (Cinema Paradiso),Cinémathèque de la Ville de Luxembourg,29.09.2024,15:00,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/kiki-la-petite-sorciere-cinema-paradiso-6pTIxT/thumb_Kiki_01_cj_main.jpg
Breakfast at Tiffany’s (Truman Capote),Cinémathèque de la Ville de Luxembourg,29.09.2024,17:30,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/breakfast-at-tiffany-s-truman-capote-94aZgG/thumb_breakfast-at-tiffanys-2_main.jpg
Before Midnight (Before Trilogy),Cinémathèque de la Ville de Luxembourg,29.09.2024,20:00,21:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-midnight-before-trilogy-iTWgzj/thumb_Before-Midnight-1.jpg
In Cold Blood (Truman Capote),Cinémathèque de la Ville de Luxembourg,30.09.2024,18:00,20:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/in-cold-blood-truman-capote-XkgR0B/thumb_in-cold-blood-3_main.jpg
Deu ci seu (Le Monde en doc),Cinémathèque de la Ville de Luxembourg,30.09.2024,20:30,22:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/deu-ci-seu-le-monde-en-doc-m-OK93/thumb_DeuCiSeu_FRM_08_cj_main.jpg
Marché à la Brocante,"Place d'Armes, Luxembourg",05.10.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
